,,F-value,p-value
白细胞,cluster_3_vs_1,0.948662472078647,0.3325866069695085
白细胞,cluster_3_vs_2,0.36444849255604117,0.5473994611081127
白细胞,cluster_3_vs_4,0.3749379655443869,0.5409324025173847
CRP,cluster_3_vs_1,0.36278823072140387,0.5484275666530278
CRP,cluster_3_vs_2,0.1202587349253646,0.7294755190273317
CRP,cluster_3_vs_4,0.07401004361565379,0.7858303298775311
TNF,cluster_3_vs_1,0.4642918724149567,0.49731823498972594
TNF,cluster_3_vs_2,0.07001178741140554,0.7918588270311095
TNF,cluster_3_vs_4,4.152460225454377,0.042723761108698785
PTC,cluster_3_vs_1,0.07322568860110243,0.7872964528458373
PTC,cluster_3_vs_2,0.11580199242442324,0.734339682152997
PTC,cluster_3_vs_4,0.8860546982385008,0.34754059619312094
il6,cluster_3_vs_1,1.4649396615729757,0.22921303011796543
il6,cluster_3_vs_2,1.6805537908491106,0.1978051293606804
il6,cluster_3_vs_4,0.34584893950680007,0.5570519166583165
il10,cluster_3_vs_1,1.4094502926616266,0.23817125717010262
il10,cluster_3_vs_2,1.6887807687829701,0.19672014418961628
il10,cluster_3_vs_4,0.35852012730731575,0.5499210925124384
性别,cluster_3_vs_1,0.35796958113923705,0.5510904217421042
性别,cluster_3_vs_2,3.875294420765248,0.051742435926334845
性别,cluster_3_vs_4,3.5064693725775076,0.06240393663616149
年龄,cluster_3_vs_1,2.8110503044931705,0.09697558461925472
年龄,cluster_3_vs_2,0.31327429038704285,0.5769170622509396
年龄,cluster_3_vs_4,7.093134442546102,0.008287351053689473
SOFA,cluster_3_vs_1,5.85468608012335,0.01748029625215794
SOFA,cluster_3_vs_2,1.552352461572469,0.21567086696394117
SOFA,cluster_3_vs_4,0.3758392965043746,0.5404468052378082
APACHE,cluster_3_vs_1,1.8479214469392846,0.1773124510562544
APACHE,cluster_3_vs_2,1.6375053286108814,0.2035997962821971
APACHE,cluster_3_vs_4,0.20058532203520635,0.6546722034389365
转归,cluster_3_vs_1,3.208007371932928,0.07653186774158129
转归,cluster_3_vs_2,1.8305432856314958,0.1790842295800342
转归,cluster_3_vs_4,0.6836259938669402,0.4092015949705108
机械通气,cluster_3_vs_1,0.1291806836679328,0.7200978553870365
机械通气,cluster_3_vs_2,1.2221723326482588,0.27156122276064326
机械通气,cluster_3_vs_4,1.6134205825086816,0.20530069802301856
住院时长,cluster_3_vs_1,0.048990518639216246,0.8253145081879123
住院时长,cluster_3_vs_2,0.9965473555908843,0.3205330754383159
住院时长,cluster_3_vs_4,0.011594509514710706,0.9143455567448797
是否二感,cluster_3_vs_1,0.017754574276906285,0.8942865011540325
是否二感,cluster_3_vs_2,6.81291269555926e-05,0.9934305876226
是否二感,cluster_3_vs_4,3.555375785595509,0.06061878429735298
慢性病个数,cluster_3_vs_1,2.293088363062858,0.13334244968751727
慢性病个数,cluster_3_vs_2,0.01809017310669015,0.893275099236709
慢性病个数,cluster_3_vs_4,4.578038049879177,0.033441981799502356
