,,F-value,p-value
白细胞,cluster_3_vs_2,0.011296235932478046,0.915623287490833
白细胞,cluster_3_vs_3,0.9486624720786471,0.3325866069695085
白细胞,cluster_3_vs_4,0.41707888528015097,0.5191100662291519
CRP,cluster_3_vs_2,0.8188905446570589,0.36822195159590054
CRP,cluster_3_vs_3,0.36278823072140404,0.5484275666530278
CRP,cluster_3_vs_4,0.13509711542490208,0.7135783487270271
TNF,cluster_3_vs_2,0.2511964488534903,0.6176102180420588
TNF,cluster_3_vs_3,0.4642918724149564,0.49731823498972594
TNF,cluster_3_vs_4,2.140144228360539,0.14499780871763618
PTC,cluster_3_vs_2,0.0011179967650043778,0.973409820340967
PTC,cluster_3_vs_3,0.07322568860110246,0.7872964528458373
PTC,cluster_3_vs_4,1.2982301951371376,0.25584720364294883
il6,cluster_3_vs_2,0.0001322669207312546,0.9908525750572059
il6,cluster_3_vs_3,1.4649396615729746,0.22921303011796543
il6,cluster_3_vs_4,5.588241777057496,0.019002551726277267
il10,cluster_3_vs_2,3.220563724556e-05,0.9954861563215427
il10,cluster_3_vs_3,1.4094502926616272,0.23817125717010262
il10,cluster_3_vs_4,5.391776943319066,0.021199393741430345
性别,cluster_3_vs_2,1.355104035180586,0.2478477421078057
性别,cluster_3_vs_3,0.3579695811392371,0.5510904217421042
性别,cluster_3_vs_4,0.8072103237999139,0.369985154950089
年龄,cluster_3_vs_2,5.00640705586298,0.028035247297550726
年龄,cluster_3_vs_3,2.8110503044931714,0.09697558461925472
年龄,cluster_3_vs_4,0.007599398209150042,0.9306166514019965
SOFA,cluster_3_vs_2,1.7587133599458173,0.1885589288996623
SOFA,cluster_3_vs_3,5.854686080123351,0.01748029625215794
SOFA,cluster_3_vs_4,13.284045460886414,0.0003381419579997924
APACHE,cluster_3_vs_2,0.03401943675491357,0.8541322339762414
APACHE,cluster_3_vs_3,1.847921446939285,0.1773124510562544
APACHE,cluster_3_vs_4,4.253838516958282,0.040404162281322785
转归,cluster_3_vs_2,0.2709370196390373,0.6041415425369567
转归,cluster_3_vs_3,3.2080073719329283,0.07653186774158129
转归,cluster_3_vs_4,6.842981834184982,0.009551386138637725
机械通气,cluster_3_vs_2,0.4670926276941619,0.49630245054709476
机械通气,cluster_3_vs_3,0.1291806836679328,0.7200978553870365
机械通气,cluster_3_vs_4,1.9614602569834583,0.16284722212355887
住院时长,cluster_3_vs_2,1.5536373209098202,0.21623673056865825
住院时长,cluster_3_vs_3,0.048990518639216246,0.8253145081879123
住院时长,cluster_3_vs_4,0.10473681640507246,0.7465428184526126
是否二感,cluster_3_vs_2,0.017840761925318353,0.8940785818111371
是否二感,cluster_3_vs_3,0.017754574276906285,0.8942865011540325
是否二感,cluster_3_vs_4,2.9571826416942106,0.08698430753135922
慢性病个数,cluster_3_vs_2,1.7293476495069704,0.19225128147122622
慢性病个数,cluster_3_vs_3,2.293088363062858,0.13334244968751727
慢性病个数,cluster_3_vs_4,0.003202087531814074,0.9549285181842467
